phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1300,900,2700,0,0
body_state_setup,graph_chain,1,0,40,200,400,200,600,0,0
body_state_setup,graph_chain,10,9,40,200,400,200,500,0,0
body_state_setup,graph_chain,100,99,40,400,500,300,600,0,0
body_state_setup,graph_chain,1000,999,40,700,4600,600,4800,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,800,0,0
body_state_setup,graph_sparse,10,9,40,200,300,200,300,0,0
body_state_setup,graph_sparse,100,99,40,400,600,300,8400,0,0
body_state_setup,graph_sparse,1000,999,40,700,800,600,6300,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,600,0,0
body_state_setup,graph_wide,10,9,40,200,300,200,300,0,0
body_state_setup,graph_wide,100,99,40,400,400,300,600,0,0
body_state_setup,graph_wide,1000,999,40,700,5700,600,6400,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
engine_execution,component_flat,10,9,40,27400,27900,27000,29000,0,0
engine_execution,component_flat,100,99,40,305400,315200,302800,327200,0,0
engine_execution,component_nested,13,12,40,40700,42000,40000,42300,0,0
engine_execution,component_nested,103,102,40,389050,396300,385800,429700,0,0
engine_execution,component_repeated_typed_10,10,10,40,60600,62100,59900,64900,0,0
engine_execution,component_repeated_typed_100,100,100,40,1072700,1177700,1062600,1203100,0,0
engine_execution,component_repeated_typed_2,2,2,40,13400,13900,13000,14400,0,0
engine_execution,dynamic_live_instances_1,3,2,40,30900,31900,30000,34700,0,0
engine_execution,dynamic_live_instances_10,3,2,40,243000,286100,235600,333600,0,0
engine_execution,dynamic_live_instances_100,3,2,40,5356800,5659100,4811800,5952600,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,26750,28000,26100,30400,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,175400,179500,171700,216300,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1953750,2201300,1890300,2269700,0,0
engine_execution,effect_known_receipt,1,0,40,9200,9600,8900,9800,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,7900,8500,7700,8700,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,7700,7900,7400,8400,0,0
engine_execution,graph_chain,1,0,40,5200,5400,5000,6200,0,0
engine_execution,graph_chain,10,9,40,29000,31700,28500,35500,0,0
engine_execution,graph_chain,100,99,40,363150,384900,344100,416700,0,0
engine_execution,graph_chain,1000,999,40,10452300,10618200,10243100,11040900,0,0
engine_execution,graph_sparse,1,0,40,5100,5400,4900,7100,0,0
engine_execution,graph_sparse,10,9,40,27050,27400,26500,31200,0,0
engine_execution,graph_sparse,100,99,40,331250,354500,313200,366400,0,0
engine_execution,graph_sparse,1000,999,40,8996050,9194400,8575200,9313800,0,0
engine_execution,graph_wide,1,0,40,5200,5600,4900,44900,0,0
engine_execution,graph_wide,10,9,40,27950,29300,27000,30900,0,0
engine_execution,graph_wide,100,99,40,302250,318400,295200,321400,0,0
engine_execution,graph_wide,1000,999,40,7552700,8017900,7417000,8419800,0,0
engine_execution,resident_ready_shutdown,1,0,40,7900,8100,7600,8500,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8600,8900,8500,17500,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15200,19300,14900,20100,0,0
engine_execution,resource_normal,2,1,40,9900,10200,9700,12800,0,0
engine_execution,resource_release_failure,2,1,40,10200,10400,10000,10800,0,0
engine_execution,resource_startup_failure,2,1,40,10100,10300,9900,10300,0,0
engine_execution,retry_one_failure,1,0,40,7700,8000,7600,8000,0,0
engine_execution,service_restart_exhausted,1,0,40,9100,9500,8800,10800,0,0
