phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1000,1300,900,4200,0,0
body_state_setup,graph_chain,1,0,40,200,500,200,600,0,0
body_state_setup,graph_chain,10,9,40,300,400,200,500,0,0
body_state_setup,graph_chain,100,99,40,400,400,300,700,0,0
body_state_setup,graph_chain,1000,999,40,700,5700,600,13200,0,0
body_state_setup,graph_sparse,1,0,40,200,300,200,500,0,0
body_state_setup,graph_sparse,10,9,40,200,300,200,300,0,0
body_state_setup,graph_sparse,100,99,40,400,600,300,700,0,0
body_state_setup,graph_sparse,1000,999,40,700,800,600,5800,0,0
body_state_setup,graph_wide,1,0,40,200,300,200,600,0,0
body_state_setup,graph_wide,10,9,40,250,300,200,300,0,0
body_state_setup,graph_wide,100,99,40,400,500,300,600,0,0
body_state_setup,graph_wide,1000,999,40,700,3900,600,4200,0,0
body_state_setup,tiny_yield_chain,1,0,40,200,300,200,300,0,0
engine_execution,component_flat,10,9,40,27100,28100,26700,31400,0,0
engine_execution,component_flat,100,99,40,305500,314600,301500,318200,0,0
engine_execution,component_nested,13,12,40,50950,54100,50400,60500,0,0
engine_execution,component_nested,103,102,40,389250,409200,383900,409700,0,0
engine_execution,component_repeated_typed_10,10,10,40,60750,63600,60200,67900,0,0
engine_execution,component_repeated_typed_100,100,100,40,1074400,1112200,1061500,1175300,0,0
engine_execution,component_repeated_typed_2,2,2,40,13400,14000,13100,16100,0,0
engine_execution,dynamic_live_instances_1,3,2,40,30300,35200,29400,43700,0,0
engine_execution,dynamic_live_instances_10,3,2,40,221950,228000,217800,250300,0,0
engine_execution,dynamic_live_instances_100,3,2,40,4111050,4427500,3594800,4823400,0,0
engine_execution,dynamic_sequential_churn_1,2,1,40,25050,25500,24400,26000,0,0
engine_execution,dynamic_sequential_churn_10,2,1,40,169800,175800,165600,177600,0,0
engine_execution,dynamic_sequential_churn_100,2,1,40,1962950,2342300,1849400,2539300,0,0
engine_execution,effect_known_receipt,1,0,40,7400,7700,7200,7800,0,0
engine_execution,effect_unknown_recovery_failed,1,0,40,7800,8000,7600,8000,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,7700,8400,7500,9400,0,0
engine_execution,graph_chain,1,0,40,5100,5600,5000,7300,0,0
engine_execution,graph_chain,10,9,40,28300,29000,27700,33600,0,0
engine_execution,graph_chain,100,99,40,345550,356000,336200,373900,0,0
engine_execution,graph_chain,1000,999,40,10608000,10941500,10410500,11253600,0,0
engine_execution,graph_sparse,1,0,40,5100,5500,4900,6400,0,0
engine_execution,graph_sparse,10,9,40,27050,27800,26500,32600,0,0
engine_execution,graph_sparse,100,99,40,324500,337000,313500,346500,0,0
engine_execution,graph_sparse,1000,999,40,9025050,9260400,8470200,9783100,0,0
engine_execution,graph_wide,1,0,40,5200,5600,5000,6200,0,0
engine_execution,graph_wide,10,9,40,27550,28700,26800,32800,0,0
engine_execution,graph_wide,100,99,40,306250,346300,297000,973700,0,0
engine_execution,graph_wide,1000,999,40,7428700,7657900,7259000,8064200,0,0
engine_execution,resident_ready_shutdown,1,0,40,8300,8600,7700,8800,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8600,9300,8400,17700,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,15100,16000,14800,19000,0,0
engine_execution,resource_normal,2,1,40,9800,10000,9600,10100,0,0
engine_execution,resource_release_failure,2,1,40,10200,10600,10000,10700,0,0
engine_execution,resource_startup_failure,2,1,40,10200,10300,10000,10400,0,0
engine_execution,retry_one_failure,1,0,40,7500,7700,7400,7700,0,0
engine_execution,service_restart_exhausted,1,0,40,9000,9100,8800,9400,0,0
engine_execution,service_restart_stable_handle,1,0,40,12100,12500,11900,17100,0,0
engine_execution,tiny_yield_chain,1,0,40,5100,5200,5000,5300,0,0
engine_execution,trace_default,100,99,40,305600,308500,301800,311200,0,0
engine_execution,trace_observer,100,99,40,305700,309500,301800,342400,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,572,44928
engine_execution_alloc,component_flat,100,99,0,,,,,5259,513144
engine_execution_alloc,component_nested,13,12,0,,,,,855,59553
engine_execution_alloc,component_nested,103,102,0,,,,,6532,645129
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1405,95590
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22566,1456254
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,303,24606
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,610,58061
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4384,421871
