phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
adapter_setup,current_thread_runtime,0,0,40,1083,2333,958,3250,0,0
body_state_setup,graph_chain,1,0,40,209,250,208,375,0,0
body_state_setup,graph_chain,10,9,40,250,334,208,417,0,0
body_state_setup,graph_chain,100,99,40,417,583,375,750,0,0
body_state_setup,graph_chain,1000,999,40,1792,2000,1750,2292,0,0
body_state_setup,graph_sparse,1,0,40,209,250,208,250,0,0
body_state_setup,graph_sparse,10,9,40,250,292,208,334,0,0
body_state_setup,graph_sparse,100,99,40,417,542,375,584,0,0
body_state_setup,graph_sparse,1000,999,40,1834,2250,1708,4208,0,0
body_state_setup,graph_wide,1,0,40,229,250,208,291,0,0
body_state_setup,graph_wide,10,9,40,250,375,208,541,0,0
body_state_setup,graph_wide,100,99,40,458,542,416,750,0,0
body_state_setup,graph_wide,1000,999,40,1792,2125,1708,2375,0,0
body_state_setup,tiny_yield_chain,1,0,40,250,333,208,375,0,0
engine_execution,component_flat,10,9,40,28750,30083,28333,33375,0,0
engine_execution,component_flat,100,99,40,349833,372917,333083,375250,0,0
engine_execution,component_nested,13,12,40,40604,42625,40042,46875,0,0
engine_execution,component_nested,103,102,40,410167,445500,354459,882292,0,0
engine_execution,dynamic_live_instances_1,3,2,40,28708,32042,25666,32459,0,0
engine_execution,dynamic_live_instances_10,3,2,40,212416,229500,193584,239375,0,0
engine_execution,dynamic_live_instances_100,3,2,40,4743313,5196875,4611042,5432875,0,0
engine_execution,effect_known_receipt,1,0,40,7334,7500,7209,7542,0,0
engine_execution,graph_chain,1,0,40,5208,5459,4958,6500,0,0
engine_execution,graph_chain,10,9,40,29791,30541,29417,34709,0,0
engine_execution,graph_chain,100,99,40,351375,367625,337916,389125,0,0
engine_execution,graph_chain,1000,999,40,15549417,16830500,14205750,17459541,0,0
engine_execution,graph_sparse,1,0,40,5187,5291,4958,5375,0,0
engine_execution,graph_sparse,10,9,40,29500,29792,29166,29958,0,0
engine_execution,graph_sparse,100,99,40,330896,336292,327916,365166,0,0
engine_execution,graph_sparse,1000,999,40,14184458,14998625,13433458,15349917,0,0
engine_execution,graph_wide,1,0,40,5125,5250,5000,5333,0,0
engine_execution,graph_wide,10,9,40,28833,29166,28458,29208,0,0
engine_execution,graph_wide,100,99,40,301292,307500,289084,310500,0,0
engine_execution,graph_wide,1000,999,40,9735645,10653291,9213417,10707375,0,0
engine_execution,resident_ready_shutdown,1,0,40,7312,9375,7000,10416,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,7917,9250,7666,14042,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,16104,19625,15250,20000,0,0
engine_execution,resource_normal,2,1,40,10354,11583,10083,12167,0,0
engine_execution,resource_release_failure,2,1,40,9917,10125,9625,10292,0,0
engine_execution,resource_startup_failure,2,1,40,9791,12875,9542,13500,0,0
engine_execution,retry_one_failure,1,0,40,7479,7708,7333,7750,0,0
engine_execution,tiny_yield_chain,1,0,40,6292,17042,5417,45250,0,0
engine_execution,trace_default,100,99,40,363979,387500,344583,494875,0,0
engine_execution,trace_observer,100,99,40,360625,391625,334625,411166,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,671,67725
engine_execution_alloc,component_flat,100,99,0,,,,,6090,781647
engine_execution_alloc,component_nested,13,12,0,,,,,1003,84371
engine_execution_alloc,component_nested,103,102,0,,,,,7592,851213
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,626,57837
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4464,409440
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,69425,6321790
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,169,19229
engine_execution_alloc,graph_chain,1,0,0,,,,,118,15764
engine_execution_alloc,graph_chain,10,9,0,,,,,671,67725
engine_execution_alloc,graph_chain,100,99,0,,,,,6090,781647
engine_execution_alloc,graph_chain,1000,999,0,,,,,60109,29096851
engine_execution_alloc,graph_sparse,1,0,0,,,,,118,15766
engine_execution_alloc,graph_sparse,10,9,0,,,,,659,68559
engine_execution_alloc,graph_sparse,100,99,0,,,,,5945,761233
engine_execution_alloc,graph_sparse,1000,999,0,,,,,58650,25335061
engine_execution_alloc,graph_wide,1,0,0,,,,,118,15762
engine_execution_alloc,graph_wide,10,9,0,,,,,648,69579
engine_execution_alloc,graph_wide,100,99,0,,,,,5725,735725
engine_execution_alloc,graph_wide,1000,999,0,,,,,56214,21420769
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,349,31202
engine_execution_alloc,resource_normal,2,1,0,,,,,229,23914
engine_execution_alloc,resource_release_failure,2,1,0,,,,,239,24657
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,236,24950
engine_execution_alloc,retry_one_failure,1,0,0,,,,,174,19592
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,118,15764
engine_execution_alloc,trace_default,100,99,0,,,,,6090,781647
engine_execution_alloc,trace_observer,100,99,0,,,,,6090,781647
fixture_generation,graph_chain,1,0,20,125,208,125,458,0,0
fixture_generation,graph_chain,10,9,20,625,833,583,1875,0,0
fixture_generation,graph_chain,100,99,20,5542,6958,5500,7250,0,0
fixture_generation,graph_chain,1000,999,20,56146,56792,55875,57084,0,0
fixture_generation,graph_sparse,1,0,20,125,125,83,167,0,0
fixture_generation,graph_sparse,10,9,20,625,709,583,750,0,0
fixture_generation,graph_sparse,100,99,20,5792,5792,5750,5833,0,0
fixture_generation,graph_sparse,1000,999,20,55375,58291,55250,59125,0,0
fixture_generation,graph_wide,1,0,20,125,208,83,209,0,0
fixture_generation,graph_wide,10,9,20,625,625,583,667,0,0
fixture_generation,graph_wide,100,99,20,5459,5583,5458,5709,0,0
fixture_generation,graph_wide,1000,999,20,54750,54875,54125,67083,0,0
fixture_generation,tiny_yield_chain,1,0,20,125,250,83,1875,0,0
machine_state_setup,graph_chain,1,0,40,500,542,459,792,0,0
machine_state_setup,graph_chain,10,9,40,3083,3208,3000,3625,0,0
machine_state_setup,graph_chain,100,99,40,24146,26584,23458,27625,0,0
